driver_gene	paralog_gene	cancer_type	pcs	delta_expression	necessity	dependency_dd	composite_score	novelty	q_value	mutation_frequency	n_mut	n_wt	is_known_paralog_sl
PIK3R1	SH2D2A	Endometrial	0.0	-0.1457839020184475	-0.0534697098064455	0.1058713353663841	0.0911804866665971	Novel	0.9541256752245454	0.25	7	21	False
KRAS	RASL12	Ovarian	0.0	-0.5872491201170166	0.0783972396905899	0.0561105696129698	0.0908948855667531	Novel	0.0237990199369363	0.1454545454545454	8	47	False
PIK3R1	SLA2	Endometrial	0.0	-0.0765470933330803	-0.095143650251277	-0.0505455749013714	0.088883356785942	Novel	0.1263803442211752	0.25	7	21	False
KRAS	RAP2B	Endometrial	0.0	-0.2069223151806034	-0.0515358154693063	0.0992529399345356	0.0857483494022862	Novel	0.65030974898788	0.2142857142857142	6	22	False
KRAS	RRAS	Endometrial	0.0446680299262512	1.0483993597542698	0.0426059301836285	-0.0039033705528594	0.0850144386777376	Novel	0.3957475959532177	0.2142857142857142	6	22	False
KRAS	HRAS	Endometrial	0.0	-0.5440143433391897	0.185531108189856	-0.087184101192078	0.0845965077773548	Novel	0.4426235176901215	0.2142857142857142	6	22	False
KRAS	NKIRAS2	Endometrial	0.0	-0.3027350102428494	-0.060951679852704	0.0852612281942373	0.0837037762377021	Novel	0.4426235176901215	0.2142857142857142	6	22	False
KRAS	RALB	Endometrial	0.0011799718962787	0.3966045890076346	0.0029751846775933	-0.0792201209438319	0.081897284947745	Novel	0.4426235176901215	0.2142857142857142	6	22	False
KRAS	DIRAS2	Endometrial	0.0	-0.0790835454836065	-0.0493003395841572	-0.0949660928342362	0.0803033673072258	Novel	0.8765905769007566	0.2142857142857142	6	22	False
PIK3CA	PIK3CG	Ovarian	0.0	-0.2929344886731969	0.0427573502560342	0.007516457753097	0.0796112487596196	Novel	0.0296915055012997	0.2181818181818181	12	43	False
KRAS	RRAS	Ovarian	0.0238336104151429	0.5593965514289145	0.0426059301836285	-0.0622450827768879	0.0787135950377836	Novel	0.498324665274842	0.1454545454545454	8	47	False
KRAS	RERGL	Endometrial	0.0	-0.0743069294943954	-0.0964926529335355	-0.0837154308879067	0.0785347557904663	Novel	0.65030974898788	0.2142857142857142	6	22	False
