driver_gene	paralog_gene	cancer_type	dependency_dd	cohens_d	hedges_g	dd_p_value	q_value	n_mut	n_wt	is_known_paralog_sl
PIK3R1	SLA2	Endometrial	-0.0505455749013714	-0.6427374208478045	-0.6240169134444704	0.1706399631026259	0.1263803442211752	7	21	False
KRAS	RASL11B	Endometrial	0.0503508403554805	0.3367461773430502	0.3269380362553885	0.5049433629118681	0.9653339777714952	6	22	False
PIK3R1	SHB	Endometrial	-0.0487764339131851	-0.2801452538348623	-0.2719856833348178	0.5830080116152467	0.7009302163516951	7	21	False
PIK3R1	SHC4	Endometrial	0.0478289600674346	0.4097157402310454	0.3977822720689761	0.3276136762449855	0.9541256752245454	7	21	False
PIK3R1	SHF	Endometrial	-0.0473620534771085	-0.3015511910747749	-0.2927681466745387	0.542764038961909	0.9541256752245454	7	21	False
PIK3R1	STAP1	Endometrial	-0.0459289639974981	-0.4350991928202358	-0.4224264007963454	0.3016604602946247	0.3185942253507202	7	21	False
KRAS	RASL11A	Endometrial	0.04452998345024	0.3645503924897169	0.353932419892929	0.3900116334288437	0.0274600097110907	6	22	False
KRAS	RAP1A	Ovarian	0.0436240893847703	0.2897526483652628	0.2856329424643349	0.5251968656967626	0.9831295613656932	8	47	False
KRAS	DIRAS1	Endometrial	0.0422288705765193	0.4013340896042887	0.3896447471886298	0.3485355546350573	0.3080283748253804	6	22	False
KRAS	NKIRAS1	Endometrial	-0.0413680317989414	-0.3235692522198142	-0.3141449050677807	0.3765432406696864	0.6531546030225304	6	22	False
PTEN	TNS1	Ovarian	-0.0402957772096072	-0.3768347386363881	-0.3714768987505626	0.3854981668270845	0.6653648260198064	6	49	False
KRAS	RHEB	Ovarian	-0.03947451509617	-0.1628379390714675	-0.1605227077102618	0.6853284274876784	0.9512867609152754	8	47	False
TP53	TP63	Endometrial	0.0391466895450513	0.2087474612820301	0.2026674381378932	0.5792782222840033	0.2620533928706717	21	7	False
PIK3R1	SH2D1A	Endometrial	-0.0378732039904636	-0.4021188462096435	-0.3904066468054791	0.3051977868243567	0.9541256752245454	7	21	False
PIK3CA	PIK3CG	Endometrial	-0.0376356793680017	-0.3952360810891026	-0.3837243505719443	0.3057359449157245	0.4522524644122372	15	13	False
KRAS	RHEBL1	Endometrial	0.0363378683826376	0.2918490168554431	0.2833485600538283	0.5229004429355332	0.6341415356073031	6	22	False
KRAS	RALA	Ovarian	0.0351016367657702	0.3841488667755909	0.378687034546554	0.2696587579244597	0.9126410926046472	8	47	False
PIK3R1	CLNK	Endometrial	-0.034010633512847	-0.2730426315929717	-0.2650899335854095	0.572447876646339	0.3185942253507202	7	21	False
KRAS	DIRAS3	Ovarian	0.031788290090727	0.361805486935341	0.3566613330926584	0.268827899652952	0.9831295613656932	8	47	False
PIK3R1	TNS4	Endometrial	-0.0311404596757177	-0.3735035663380074	-0.3626248216873858	0.332616875642952	0.9541256752245454	7	21	False
PIK3R1	PIK3R2	Endometrial	0.0310512214790214	0.2009628538188733	0.1951095668144401	0.6336260156095694	0.9541256752245454	7	21	False
KRAS	RALB	Ovarian	-0.0309089987216196	-0.4834135714840166	-0.4765403927425377	0.0765105322590942	0.3104051550658437	8	47	False
KRAS	RAP2B	Ovarian	-0.0308906814795677	-0.1533588285209248	-0.1511783712433761	0.7268043322661764	0.9831295613656932	8	47	False
TP53	TP63	Ovarian	-0.0297040142271059	-0.244931809774144	-0.2414493669811467	0.4319143698814845	0.1257634288854291	40	15	False
PIK3CA	PIK3CD	Ovarian	-0.0295247600044414	-0.2663259270819058	-0.2625393025262388	0.3791090035301879	0.6749795493611246	12	43	False
KRAS	HRAS	Ovarian	-0.0293025292372922	-0.2532109471715269	-0.2496107915245383	0.4612094006060129	0.498324665274842	8	47	False
KRAS	RASD2	Endometrial	0.0277237826953433	0.2354526204211149	0.2285947771078786	0.6240428642865156	0.6531546030225304	6	22	False
KRAS	DIRAS3	Endometrial	-0.0276015651112348	-0.1393422778773475	-0.1352837649294636	0.7258687107426087	0.5439365783225705	6	22	False
PTEN	TNS1	Endometrial	0.026316142706401	0.2043055787159423	0.198354930792177	0.600636371357359	0.4061007188219288	17	11	False
KRAS	RHEBL1	Ovarian	-0.0256406848594454	-0.2305294829579207	-0.2272518125841114	0.4603216153370734	0.9831295613656932	8	47	False
KRAS	RASL10A	Ovarian	-0.0206560819849522	-0.1883634857261691	-0.1856853319006786	0.5989169072879994	0.9831295613656932	8	47	False
PIK3R1	SH2D7	Endometrial	-0.0161659748477169	-0.1797697861600752	-0.1745337729709468	0.635436744678428	0.9541256752245454	7	21	False
KRAS	ERAS	Ovarian	-0.0159574793903749	-0.1865463595410873	-0.1838940416329202	0.5357923966820464	0.7907982747182752	8	47	False
KRAS	MRAS	Endometrial	0.0146119110538799	0.1468249657904844	0.1425485104761985	0.7286033282789863	0.6531546030225304	6	22	False
KRAS	RASL11A	Ovarian	-0.0133927392115321	-0.189012275348738	-0.1863248970262441	0.5812820928901035	0.9831295613656932	8	47	False
KRAS	RASL10A	Endometrial	0.012648839942871	0.0803618399377091	0.0780212038230185	0.8616481275277343	0.4426235176901215	6	22	False
FBXW7	FBXW5	Endometrial	0.0124208786644087	0.1523404753375226	0.1479033741140996	0.7415570259250653	0.931247735370951	8	20	False
PIK3R1	BLNK	Endometrial	0.0123522819247671	0.1536134889293881	0.1491393096401826	0.7290202924459407	0.8510492693176752	7	21	False
KRAS	RASL11B	Ovarian	0.0116728937224767	0.1271822194349918	0.1253739414335464	0.6936116905061848	0.9831295613656932	8	47	False
PIK3R1	SHC1	Endometrial	0.011300496786142	0.0449769249763772	0.0436669174527934	0.925033016832921	0.7009302163516951	7	21	False
PIK3CA	PIK3CD	Endometrial	-0.0110009487702485	-0.077438116545184	-0.0751826374225088	0.8374715620688552	0.8182441999104925	15	13	False
PIK3R1	PIK3R3	Endometrial	-0.010742708434357	-0.058997521608974	-0.0572791471931786	0.8758117141995496	0.9541256752245454	7	21	False
