component,delta
pcs_minus_dd,-0.2264150943396227
pcs_minus_dd,0.579047619047619
pcs_minus_dd,0.12482662968099856
pcs_minus_dd,0.09955995599559964
pcs_minus_dd,0.14493758668515944
pcs_minus_dd,0.13701923076923073
pcs_minus_dd,0.28037383177570097
pcs_minus_dd,0.24982456140350873
pcs_minus_dd,0.024271844660194164
pcs_minus_dd,0.10784313725490191
pcs_minus_dd,0.17753120665742028
pcs_minus_dd,0.1551155115511551
pcs_minus_dd,0.20432692307692313
pcs_minus_dd,0.24456140350877198
pcs_minus_dd,0.20527045769764218
pcs_minus_dd,0.1778846153846153
pcs_minus_dd,0.15291529152915284
pcs_minus_dd,0.2706270627062707
pcs_minus_dd,0.23619047619047617
pcs_minus_dd,0.10747663551401876
pcs_minus_dd,0.1256127450980392
pcs_minus_dd,0.11479591836734704
pcs_minus_dd,0.3405
pcs_minus_dd,0.1626602564102564
pcs_minus_dd,0.0608974358974359
pcs_minus_dd,0.31553398058252424
pcs_minus_dd,0.41266025641025644
pcs_minus_dd,0.11142857142857143
pcs_minus_dd,0.35644937586685155
pcs_minus_dd,-0.1685714285714286
pcs_minus_dd,0.25312066574202496
pcs_minus_dd,0.40099009900990096
pcs_minus_dd,0.14262820512820518
pcs_minus_dd,0.029523809523809508
pcs_minus_dd,0.19199999999999995
pcs_minus_dd,0.14906490649064907
pcs_minus_dd,0.24693627450980393
pcs_minus_dd,0.14741474147414735
pcs_minus_dd,0.3264999999999999
pcs_minus_dd,0.047193877551020336
pcs_minus_dd,0.10731132075471705
pcs_minus_dd,0.373
pcs_minus_dd,0.07692307692307687
pcs_minus_dd,-0.006127450980392135
pcs_minus_dd,0.432
pcs_minus_dd,0.33333333333333337
pcs_minus_dd,0.2341597796143251
pcs_minus_dd,0.5887850467289719
pcs_minus_dd,-0.14903846153846156
pcs_minus_dd,0.5313531353135312
pcs_minus_dd,0.36546463245492367
pcs_minus_dd,0.25797579757975797
pcs_minus_dd,0.3060897435897436
pcs_minus_dd,0.2692307692307693
pcs_minus_dd,0.03301886792452835
pcs_minus_dd,-0.249
pcs_minus_dd,0.30235783633841895
pcs_minus_dd,0.06888888888888889
pcs_minus_dd,0.1955128205128206
pcs_minus_dd,0.22023809523809523
pcs_minus_dd,0.19100091827364551
pcs_minus_dd,0.29718137254901955
pcs_minus_dd,0.23228070175438587
pcs_minus_dd,-0.0323809523809524
pcs_minus_dd,0.019230769230769162
pcs_minus_dd,0.0625
pcs_minus_dd,0.41911764705882354
pcs_minus_dd,0.2895238095238095
pcs_minus_dd,0.14008321775312071
pcs_minus_dd,0.22882288228822878
pcs_minus_dd,0.09926470588235303
pcs_minus_dd,0.19486823855755897
pcs_minus_dd,0.01650000000000007
pcs_minus_dd,0.4398148148148148
pcs_minus_dd,0.5872641509433962
pcs_minus_dd,0.3136160714285714
pcs_minus_dd,0.03245324532453242
pcs_minus_dd,0.2359068627450981
pcs_minus_dd,0.06881648936170215
pcs_minus_dd,0.24571428571428577
pcs_minus_dd,0.18137254901960775
pcs_minus_dd,0.09558823529411764
pcs_minus_dd,0.26017601760176023
pcs_minus_dd,-0.015238095238095162
pcs_minus_dd,0.21705963938973638
pcs_minus_dd,0.16176470588235292
pcs_minus_dd,-0.07200000000000006
pcs_minus_dd,0.1810897435897436
pcs_minus_dd,0.26415094339622647
pcs_minus_dd,0.19428571428571428
pcs_minus_dd,0.11111111111111116
pcs_minus_dd,0.18307905686546466
pcs_minus_dd,0.15865384615384615
pcs_minus_dd,0.20792079207920788
pcs_minus_dd,0.11111111111111116
pcs_minus_dd,0.19417475728155342
pcs_minus_dd,0.19047619047619047
pcs_minus_dd,0.32965686274509803
pcs_minus_dd,0.19400000000000006
pcs_minus_dd,0.35210150674068197
pcs_minus_dd,0.08113730929264906
pcs_minus_dd,0.17271727172717266
pcs_minus_dd,0.015401540154015403
pcs_minus_dd,0.1400832177531206
pcs_minus_dd,-0.0030000000000000027
pcs_minus_dd,0.45370370370370366
pcs_minus_dd,0.42452830188679247
pcs_minus_dd,0.4798890429958391
pcs_minus_dd,0.1747572815533981
pcs_minus_dd,0.31433823529411764
pcs_minus_dd,0.27008222643896274
pcs_minus_dd,0.004950495049504955
pcs_minus_dd,0.276
pcs_minus_dd,0.33653846153846156
pcs_minus_dd,0.138
pcs_minus_dd,-0.10648148148148151
pcs_minus_dd,-0.013333333333333308
pcs_minus_dd,0.15500000000000003
pcs_minus_dd,0.029761904761904767
pcs_minus_dd,0.2941176470588236
pcs_minus_dd,0.003826530612244916
pcs_minus_dd,0.4509803921568627
pcs_minus_dd,0.23299319727891155
pcs_minus_dd,0.3939950980392157
pcs_minus_dd,0.35238095238095246
pcs_minus_dd,0.005514705882352922
pcs_minus_dd,0.1893203883495146
pcs_minus_dd,0.0820578231292517
pcs_minus_dd,0.049679487179487225
pcs_minus_dd,0.348127600554785
pcs_minus_dd,0.14851485148514854
pcs_minus_dd,0.18014705882352944
pcs_minus_dd,0.4909847434119278
pcs_minus_dd,0.25522552255225517
pcs_minus_dd,0.22916666666666663
pcs_minus_dd,0.027243589743589758
pcs_minus_dd,0.4861221252973831
pcs_minus_dd,0.17100000000000004
pcs_minus_dd,0.4047619047619047
pcs_minus_dd,0.2171474358974359
