driver_gene,paralog_gene,pcs,delta_expression,necessity,dependency_dd,cohens_d,hedges_g,dd_p_value,expr_p_value,expr_t_stat,n_mut,n_wt,cancer_type,mutation_frequency,q_value,pass_threshold,pcs_rank,pcs_norm,dd_norm,composite_score,is_known_paralog_sl
PTEN,TNS2,0.0,-1.0324670389299233,0.23876546949198454,0.06843556617340324,0.6530450581000671,0.5970697674057756,0.40818875881749495,0.3099170544217265,-1.2490766509848295,3,8,Endometrial_MSS,0.2727272727272727,0.3099170544217265,False,1.5,0.0,1.0,0.2,False
PTEN,TNS1,0.0,-0.7945761658591195,-0.04627612452586366,0.04888183291232662,0.3462964416018075,0.3166138894645097,0.6540227768066526,0.281136185200258,-1.260890025365136,3,8,Endometrial_MSS,0.2727272727272727,0.3099170544217265,False,1.5,0.0,0.0,0.0,False
ARID1A,ARID1B,0.0,-0.015143528191709166,0.07510336169996921,0.2851013519140545,1.0845933897318716,0.9916282420405683,0.15702412264757004,0.961060799749263,-0.05020480684209239,5,6,Endometrial_MSS,0.45454545454545453,0.961060799749263,False,1.0,0.0,0.0,0.0,True
PIK3CA,PIK3CB,0.06492622862233077,0.5272129477277803,0.12314991295671783,-0.08401348419691661,-0.33354364293464295,-0.30495418782595923,0.6438243981331196,0.21569888078448637,1.3641529950076154,4,7,Endometrial_MSS,0.36363636363636365,0.32040792168705545,False,1.0,1.0,0.3510245099821259,0.5702049019964252,True
PIK3CA,PIK3CG,0.0,-0.6780103882764024,0.04275735025603428,-0.11327483779530714,-1.0116268923202723,-0.9249160158356775,0.20138303603905947,0.32040792168705545,-1.082929811693949,4,7,Endometrial_MSS,0.36363636363636365,0.32040792168705545,False,2.5,0.0,1.0,0.2,False
PIK3CA,PIK3CD,0.0,-1.581603153637007,0.20016143772539455,-0.06818630356178067,-0.3992764757155508,-0.365052777797075,0.5901765346966025,0.0222982499651527,-2.934987843092814,4,7,Endometrial_MSS,0.36363636363636365,0.0668947498954581,False,2.5,0.0,0.0,0.15,False
FBXW7,FBXW4,0.03298092230279378,0.4261552103039201,0.0773918082082649,0.13508037540094198,0.9845338032036661,0.9001451915004948,0.16995090902905638,0.5867070125405588,0.6017302074512648,4,7,Endometrial_MSS,0.36363636363636365,0.9461971336234075,False,1.0,1.0,1.0,0.7,False
FBXW7,FBXW5,0.006289382409919764,0.17829576363409227,0.03527499634162457,0.034604058370968145,0.41512527803743093,0.37954311134850827,0.5557355145522086,0.6550648377823994,0.46941404012797716,4,7,Endometrial_MSS,0.36363636363636365,0.9461971336234075,False,2.0,0.19069759032745418,0.12799011674083222,0.12094681851189354,False
FBXW7,FBXW2,0.0,-0.01980511075279212,-0.04114348633526994,-0.019856547140601574,-0.18586502185244308,-0.1699337342650908,0.7924207853993699,0.9461971336234075,-0.0694633764250892,4,7,Endometrial_MSS,0.36363636363636365,0.9461971336234075,False,3.0,0.0,0.0,0.0,True
