driver_gene,paralog_gene,pcs,delta_expression,necessity,dependency_dd,cohens_d,hedges_g,dd_p_value,expr_p_value,expr_t_stat,n_mut,n_wt,cancer_type,mutation_frequency,q_value,pass_threshold,pcs_rank,pcs_norm,dd_norm,composite_score,is_known_paralog_sl
PIK3CA,PIK3CD,0.1990786362799554,0.9945903593731942,0.20016143772539455,-0.013548328446131408,-0.10226001234684454,-0.09706035070208974,0.8387653595850227,0.023405232713759234,2.5451630076126293,11,6,Endometrial_MSI_H,0.6470588235294118,0.0702156981412777,False,1.0,1.0,0.04853879762538364,0.6597077595250768,False
PIK3CA,PIK3CB,0.027538743639550015,0.2236196760384943,0.12314991295671783,-0.14001761585334854,-0.8643134195071013,-0.820365279532164,0.14573482081419875,0.2626099204784668,1.1706963873521719,11,6,Endometrial_MSI_H,0.6470588235294118,0.3939148807177002,False,2.0,0.13833098394758697,1.0,0.30756187611498353,True
PIK3CA,PIK3CG,0.0,-0.006907018190545049,0.04275735025603428,0.007096497166027954,0.07524615165711833,0.07142007614912926,0.8906802654765226,0.7129831218801663,-0.37495734919466933,11,6,Endometrial_MSI_H,0.6470588235294118,0.7129831218801663,False,3.0,0.0,0.0,0.0,False
TP53,TP63,0.04899860656440458,0.5804961106433267,0.08440815651650543,0.09966265423888936,0.4110587092490696,0.3901574189482695,0.38815217619279246,0.2508201358614261,1.2268585954895268,10,7,Endometrial_MSI_H,0.5882352941176471,0.5016402717228522,False,1.0,1.0,1.0,0.85,False
TP53,TP73,0.02483249513741534,0.3713675568278134,0.06686770204035099,-0.0005991285354917386,-0.0026356788915344958,-0.0025016613207785045,0.9956948948396694,0.6215978997241017,0.5086346176720621,10,7,Endometrial_MSI_H,0.5882352941176471,0.6215978997241017,False,2.0,0.0,0.0,0.0,False
KRAS,RRAS,0.051642685083361,1.2121008709535195,0.04260593018362854,-0.02980788073922116,-0.2768415810835038,-0.26276489051993585,0.6210475720870596,0.11623550560449336,1.8275736358378694,5,12,Endometrial_MSI_H,0.29411764705882354,0.3282368841796357,False,1.0,1.0,0.16722146501989107,0.593718029512096,False
KRAS,RASL10B,0.0,-1.5017588173121963,0.12293100942354462,0.1226426694308411,1.490318041301968,1.4145391578459359,0.020308854388145937,0.012537986532183193,-2.9581998011505726,5,12,Endometrial_MSI_H,0.29411764705882354,0.09403489899137395,False,18.5,0.0,0.7488117768298649,0.27939650052131915,False
KRAS,RASL11A,0.0,-0.9926635129255579,0.056617907613396974,0.0778711947846022,0.5348100719034916,0.5076163394338226,0.27888689548357787,0.003938095675973551,-3.4059357173421203,5,12,Endometrial_MSI_H,0.29411764705882354,0.06514502995002079,False,18.5,0.0,0.46832795964583446,0.2436655919291669,False
KRAS,RHEBL1,0.014746205656149074,0.35668555732213214,0.04134231216665548,0.06842716721175442,0.4674172764508936,0.44365029629237357,0.3721885848401454,0.5562156260727421,0.6158619405365668,5,12,Endometrial_MSI_H,0.29411764705882354,0.7945937515324888,False,2.0,0.28554296958699815,0.40916312480057204,0.23582360073495742,False
KRAS,NRAS,0.0,-0.41968796221266746,0.22067675715211496,-0.16273791370554647,-1.1604441939449237,-1.1014385569646734,0.017875758701377545,0.3393575641177388,-1.0390317137573912,5,12,Endometrial_MSI_H,0.29411764705882354,0.5358277328174823,False,18.5,0.0,1.0,0.23308168837713822,False
KRAS,DIRAS1,0.0,-1.8943529354223583,-0.01901738757814411,0.03076841882076209,0.3119286869574196,0.29606790626466944,0.49903842610916066,0.005301303167218902,-3.452457451546197,5,12,Endometrial_MSI_H,0.29411764705882354,0.06514502995002079,False,18.5,0.0,0.1732390328974293,0.18464780657948587,False
KRAS,RERG,0.0,-0.9854435016722158,0.08632292641733895,0.09515158270963188,0.5299863857543539,0.5030379254617596,0.2713439284071593,0.06955507243461542,-2.002320593954172,5,12,Endometrial_MSI_H,0.29411764705882354,0.3282368841796357,False,18.5,0.0,0.5765859343033729,0.17559092336879228,False
KRAS,RIT1,0.0,-0.6225513436566326,0.19656071722882473,-0.023315835607921026,-0.22027526493119262,-0.20907482773130148,0.6512902340640803,0.006514502995002079,-3.2762479885380698,5,12,Endometrial_MSI_H,0.29411764705882354,0.06514502995002079,False,18.5,0.0,0.1265501756744768,0.17531003513489535,False
KRAS,RAP2B,0.0,-0.37027468896446836,-0.05153581546930635,0.11284923784899083,0.8267574032192311,0.7847188911911346,0.09140845987998185,0.31127251464620037,-1.048066590387612,5,12,Endometrial_MSI_H,0.29411764705882354,0.5187875244103339,False,18.5,0.0,0.68745799978516,0.17236647748998862,False
KRAS,RHEB,0.0,-0.08580931779072376,0.44101769058109713,-0.1325838591023769,-0.4401658194051789,-0.4177845065540681,0.39092673057035504,0.6845940528185601,-0.4190411726358231,5,12,Endometrial_MSI_H,0.29411764705882354,0.86500379782781,False,18.5,0.0,0.8110912270479975,0.16872687774156878,False
KRAS,RASL10A,0.0,-0.3346217277136985,0.18055325161447167,0.07586849228302625,0.5626319809725708,0.5340235751604062,0.36011480291970827,0.13129475367185428,-1.6670674439537436,5,12,Endometrial_MSI_H,0.29411764705882354,0.3282368841796357,False,18.5,0.0,0.4557814521482706,0.15143002693777183,False
