cancer,driver,paralog,is_known_sl,dd_trunc,dd_miss,dd_all,n_trunc,n_miss,n_wt
Breast,ARID1A,ARID1B,True,0.33596825302963396,0.0,0.33596825302963396,5,0,45
Breast,BRCA2,BRCA1,True,-0.04746424948250216,-0.011414540390294547,-0.029439394936398355,3,3,44
Breast,NF1,RASA1,False,-0.06919043692424254,0.0,-0.06595471886844916,5,1,44
Breast,NF1,RASA2,False,-0.15152841739051293,0.0,-0.12119066858708925,5,1,44
Breast,ATM,ATR,False,0.0,-0.16746107354857576,-0.16746107354857576,0,3,47
Breast,CDH1,CDH2,False,-0.05714821898620225,0.0,-0.05714821898620225,3,0,47
Breast,PIK3CA,PIK3CB,True,0.0,-0.21338559328408527,-0.2133855932840853,0,18,32
Breast,PIK3CA,PIK3CD,False,0.0,-0.03466449611655176,-0.03466449611655176,0,18,32
Breast,PIK3CA,PIK3CG,False,0.0,0.022716521570302614,0.02271652157030262,0,18,32
Breast,SMARCA4,SMARCA2,True,0.0,0.06295017719813799,0.06295017719813797,0,3,47
Breast,PTEN,TNS1,False,-0.02823001856643663,-0.0080412545831395,-0.020659232072700207,5,3,42
Breast,PTEN,TNS2,False,0.008051316786986451,0.04003902854739727,0.02004670869714048,5,3,42
Breast,KRAS,MRAS,False,0.0,0.0963387437497455,0.0963387437497455,0,3,47
Breast,KRAS,NKIRAS1,False,0.0,-0.010624757510570917,-0.010624757510570917,0,3,47
Breast,KRAS,NKIRAS2,False,0.0,-0.044809130847044715,-0.044809130847044715,0,3,47
Breast,KRAS,NRAS,False,0.0,-0.03195570621494251,-0.03195570621494251,0,3,47
Breast,KRAS,RALA,False,0.0,0.06311750905317068,0.06311750905317068,0,3,47
Breast,KRAS,RALB,False,0.0,-0.045190588713962324,-0.045190588713962324,0,3,47
Breast,KRAS,RAP1A,False,0.0,0.05800455139691252,0.05800455139691252,0,3,47
Breast,KRAS,RAP1B,False,0.0,0.15546541613165082,0.15546541613165082,0,3,47
Breast,KRAS,RAP2A,False,0.0,0.08363546405438116,0.08363546405438116,0,3,47
Breast,KRAS,RAP2B,False,0.0,0.022117244639079874,0.022117244639079874,0,3,47
Breast,KRAS,RAP2C,False,0.0,-0.03736929723764002,-0.03736929723764002,0,3,47
Breast,KRAS,RASD2,False,0.0,-0.04045845540965834,-0.04045845540965834,0,3,47
Breast,KRAS,RASL10A,False,0.0,-0.0012212639841484574,-0.0012212639841484574,0,3,47
Breast,KRAS,RASL10B,False,0.0,-0.059990832235004676,-0.059990832235004676,0,3,47
Breast,KRAS,RASL11A,False,0.0,0.13643109951773574,0.13643109951773574,0,3,47
Breast,KRAS,RASL11B,False,0.0,-0.0031805434505496454,-0.003180543450549649,0,3,47
Breast,KRAS,RASL12,False,0.0,0.004282919386255357,0.004282919386255357,0,3,47
Breast,KRAS,RERG,False,0.0,-0.07575414350622117,-0.07575414350622117,0,3,47
Breast,KRAS,RERGL,False,0.0,0.01641041834582878,0.01641041834582875,0,3,47
Breast,KRAS,RHEB,False,0.0,-0.09819391076571843,-0.09819391076571843,0,3,47
Breast,KRAS,RHEBL1,False,0.0,0.05502749719379553,0.0550274971937955,0,3,47
Breast,KRAS,RIT1,False,0.0,-0.10433668813949987,-0.10433668813949984,0,3,47
Breast,KRAS,RIT2,False,0.0,0.13503154216216037,0.13503154216216037,0,3,47
Breast,KRAS,RRAS,False,0.0,0.042178281915038876,0.042178281915038876,0,3,47
Breast,KRAS,RRAS2,False,0.0,-0.060937530533809944,-0.060937530533809944,0,3,47
Breast,KRAS,DIRAS1,False,0.0,-0.09612243002853238,-0.09612243002853238,0,3,47
Breast,KRAS,DIRAS2,False,0.0,0.0865969841764859,0.0865969841764859,0,3,47
Breast,KRAS,DIRAS3,False,0.0,0.1370805684079602,0.1370805684079602,0,3,47
Breast,KRAS,ERAS,False,0.0,-0.032352998953936826,-0.03235299895393684,0,3,47
Breast,KRAS,HRAS,False,0.0,-0.03525524896317454,-0.03525524896317454,0,3,47
Breast,BRAF,RAF1,False,0.0,0.023049943238600754,0.02304994323860074,0,4,46
Breast,BRCA1,BRCA2,True,-0.1359701645306261,0.0,-0.1359701645306261,5,0,45
Breast,BRCA1,BARD1,False,-0.4307841523306749,0.0,-0.4307841523306749,5,0,45
Breast,KMT2D,KMT2C,False,0.0,0.2779141915292054,0.20938832330617635,1,5,44
Breast,TP53,TP63,False,-0.011302397587256175,0.017913751198526624,0.005496887964568941,17,23,8
Breast,TP53,TP73,False,-0.06414200340285069,-0.02041603720470881,-0.03899957283891911,17,23,8
