driver,paralog,pair,odds_ratio,ci_low,ci_high,p_value,n_both,n_driver_only,n_paralog_only,n_neither,n_total
ARID1A,ARID1B,ARID1A/ARID1B,5.721532567049809,3.6461366430884543,8.978252358661644,1.9980001628526236e-12,37,87,75,1009,1208
PIK3CA,PIK3CB,PIK3CA/PIK3CB,6.835710772257747,3.2845364369121337,14.226342943508234,3.3162651493699095e-06,13,107,19,1069,1208
BRCA1,BRCA2,BRCA1/BRCA2,4.527631578947369,1.289674086941831,15.895060560060738,0.04010270576938006,3,20,38,1147,1208
EP300,CREBBP,EP300/CREBBP,6.110576923076923,3.7440225920019707,9.973003478292203,2.3927667266254397e-11,31,52,100,1025,1208
SMARCA4,SMARCA2,SMARCA4/SMARCA2,1.6233572281959379,0.6270083190611626,4.202956500293157,0.3720503124747483,5,54,62,1087,1208
