cancer,driver,paralog,is_known_sl,dd_trunc,dd_miss,dd_all,n_trunc,n_miss,n_wt
Endometrial,CTNNB1,JUP,False,0.0,-0.038757616552381614,-0.038757616552381614,0,5,23
Endometrial,KEAP1,KLHL1,False,0.0,-0.04113321498822978,-0.04113321498822978,0,7,21
Endometrial,KEAP1,KLHL2,False,0.0,-0.017535835073151637,-0.017535835073151665,0,7,21
Endometrial,KEAP1,KLHL4,False,0.0,-0.09834345996126816,-0.09834345996126816,0,7,21
Endometrial,KEAP1,KLHL5,False,0.0,-0.0008542456027288703,-0.0008542456027288564,0,7,21
Endometrial,KEAP1,KLHL6,False,0.0,0.017604032164273968,0.017604032164273968,0,7,21
Endometrial,KEAP1,KLHL7,False,0.0,0.018159099530630773,0.018159099530630773,0,7,21
Endometrial,KEAP1,KLHL8,False,0.0,-0.028096652956902723,-0.028096652956902723,0,7,21
Endometrial,KEAP1,KLHL9,False,0.0,-0.055542155311412496,-0.055542155311412524,0,7,21
Endometrial,KEAP1,KLHL10,False,0.0,0.0003136680616438181,0.0003136680616438181,0,7,21
Endometrial,KEAP1,KLHL11,False,0.0,-0.08201263915355572,-0.08201263915355567,0,7,21
Endometrial,KEAP1,KLHL12,False,0.0,0.1653294983360303,0.1653294983360303,0,7,21
Endometrial,KEAP1,KLHL13,False,0.0,-0.04745504935324882,-0.04745504935324882,0,7,21
Endometrial,KEAP1,KLHL14,False,0.0,0.007609712646100247,0.007609712646100261,0,7,21
Endometrial,KEAP1,KLHL15,False,0.0,0.02488850375067446,0.02488850375067446,0,7,21
Endometrial,KEAP1,KLHL17,False,0.0,0.09261256889357873,0.09261256889357873,0,7,21
Endometrial,KEAP1,KLHL18,False,0.0,-0.06241505067923449,-0.062415050679234516,0,7,21
Endometrial,KEAP1,KLHL20,False,0.0,0.0869259679000141,0.0869259679000141,0,7,21
Endometrial,KEAP1,KLHL21,False,0.0,-0.014827647835440126,-0.014827647835440116,0,7,21
Endometrial,KEAP1,KLHL22,False,0.0,-0.02933080274511171,-0.029330802745111698,0,7,21
Endometrial,KEAP1,KLHL24,False,0.0,-0.11145246901744256,-0.11145246901744256,0,7,21
Endometrial,KEAP1,KLHL26,False,0.0,0.025856188631882132,0.025856188631882132,0,7,21
Endometrial,KEAP1,KLHL28,False,0.0,0.010296418974527849,0.010296418974527849,0,7,21
Endometrial,KEAP1,KLHL29,False,0.0,0.04699082453871643,0.04699082453871643,0,7,21
Endometrial,KEAP1,KLHL30,False,0.0,-0.05006266663130772,-0.05006266663130772,0,7,21
Endometrial,KEAP1,KLHL31,False,0.0,-0.06521684010058429,-0.06521684010058429,0,7,21
Endometrial,KEAP1,KLHL32,False,0.0,8.471880165462908e-05,8.471880165462908e-05,0,7,21
Endometrial,KEAP1,KLHL34,False,0.0,0.014083194781006295,0.014083194781006295,0,7,21
Endometrial,KEAP1,KLHL35,False,0.0,0.05126221071200614,0.05126221071200614,0,7,21
Endometrial,KEAP1,KLHL36,False,0.0,-0.043540071741899,-0.04354007174189903,0,7,21
Endometrial,KEAP1,KLHL38,False,0.0,0.0038777294177388955,0.0038777294177388885,0,7,21
Endometrial,KEAP1,KLHL40,False,0.0,0.11187078034631354,0.11187078034631359,0,7,21
Endometrial,KEAP1,KLHL41,False,0.0,-0.01454230030298271,-0.014542300302982702,0,7,21
Endometrial,KEAP1,KLHL42,False,0.0,0.04271075348724223,0.042710753487242216,0,7,21
Endometrial,KEAP1,ENC1,False,0.0,-0.0904366537843665,-0.09043665378436647,0,7,21
Endometrial,SMARCA4,SMARCA2,True,0.0,-0.03423495173913715,-0.01793676202048406,1,7,19
Endometrial,PIK3R1,PIK3R2,False,0.04351590288704865,0.0,0.08649310261942017,7,1,17
Endometrial,PIK3R1,PIK3R3,False,-0.009633126009485998,0.0,-0.011128115473982653,7,1,17
Endometrial,PIK3R1,BLNK,False,0.0019101212896006844,0.0,-0.006264890945013764,7,1,17
Endometrial,PIK3R1,SH2D1A,False,-0.03185455456270671,0.0,-0.028829224962851438,7,1,17
Endometrial,PIK3R1,SH2D1B,False,-0.0030824730317556724,0.0,-0.005561311982147319,7,1,17
Endometrial,PIK3R1,SH2D2A,False,0.07600135945875001,0.0,0.035746843431564965,7,1,17
Endometrial,PIK3R1,SH2D4B,False,-0.06507270629461305,0.0,-0.04640316768443497,7,1,17
Endometrial,PIK3R1,SH2D6,False,0.0,0.0,0.0,7,1,17
Endometrial,PIK3R1,SH2D7,False,-0.028914778530368855,0.0,-0.02979045789103084,7,1,17
Endometrial,PIK3R1,SHB,False,-0.07651690538608015,0.0,-0.08683177512809613,7,1,17
Endometrial,PIK3R1,SHC1,False,0.0005260774516822608,0.0,0.02773590970591816,7,1,17
Endometrial,PIK3R1,SHC2,False,-0.058056065832036874,0.0,-0.04220470634484426,7,1,17
Endometrial,PIK3R1,SHC3,False,-0.07481828409260563,0.0,-0.07635446206472557,7,1,17
Endometrial,PIK3R1,SHC4,False,0.026320003527378302,0.0,-0.008475087013219113,7,1,17
Endometrial,PIK3R1,SHD,False,0.006428147611215136,0.0,0.00770685385552964,7,1,17
Endometrial,PIK3R1,SHE,False,-0.11774309789181173,0.0,-0.10491133935638186,7,1,17
Endometrial,PIK3R1,SHF,False,-0.04072262207498236,0.0,-0.019745148227948817,7,1,17
Endometrial,PIK3R1,SLA2,False,-0.04217588070842507,0.0,-0.04106499801233962,7,1,17
