drug,mean_mut,mean_wt,delta_auc,cohens_d,p_value,t_stat,n_mut,n_wt,mut_sensitive_frac,wt_sensitive_frac,enrichment,abs_delta,abs_cohens_d,bh_q,driver,paralog,context,is_known_sl,dd,n_mut_total,n_wt_total
VELBAN,-1.5249453743749999,-1.1323678160333335,-0.3925775583416664,-1.2536545766823244,0.0007060792364389753,-3.9063827579795056,4,24,0.75,0.16666666666666666,0.5833333333333334,0.3925775583416664,1.2536545766823244,0.07292789827791131,FBXW7,FBXW2,Ovarian,True,-0.015815971506365684,5,28
VOLASERTIB,-1.3741870609666667,-0.9849345810407407,-0.38925247992592593,-1.4448125306319979,0.0070993460951552755,-3.8437935217760573,3,27,1.0,0.18518518518518517,0.8148148148148149,0.38925247992592593,1.4448125306319979,0.07454313399913039,CDH1,CDH2,Colorectal,False,-0.05151362006082269,3,27
INDISULAM,-0.6306819012333333,-0.2592001671851851,-0.3714817340481482,-2.1892635751338947,0.0041775693120428455,-5.233023269134329,3,27,1.0,0.18518518518518517,0.8148148148148149,0.3714817340481482,2.1892635751338947,0.05485075238642046,CDH1,CDH2,Colorectal,False,-0.05151362006082269,3,27
AZD8330,-1.262764477242857,-0.8951965173729302,-0.36756795986992685,-0.622470858343842,2.37738246758486e-06,-4.950553681535279,84,314,0.36904761904761907,0.2197452229299363,0.14930239611768276,0.36756795986992685,0.622470858343842,0.0007306034619290305,KRAS,HRAS,PanCancer,False,0.049889253798888866,107,468
AZD8330,-1.262764477242857,-0.8951965173729302,-0.36756795986992685,-0.622470858343842,2.37738246758486e-06,-4.950553681535279,84,314,0.36904761904761907,0.2197452229299363,0.14930239611768276,0.36756795986992685,0.622470858343842,0.0007306034619290305,KRAS,NRAS,PanCancer,False,0.1716914408093314,107,468
SEPANTRONIUM BROMIDE,-2.226659120262162,-1.8749838888426964,-0.3516752314194658,-0.4430790948290888,0.01663036251920685,-2.492797167560513,37,356,0.3783783783783784,0.23876404494382023,0.13961433343455817,0.3516752314194658,0.4430790948290888,0.21619471274968904,RB1,RBL1,PanCancer,False,0.07698472638365997,51,524
ELESCLOMOL,-1.2923941397333332,-0.941084011388889,-0.3513101283444442,-2.0224164701174274,0.00036453474833035647,-5.704235316308853,3,27,1.0,0.18518518518518517,0.8148148148148149,0.3513101283444442,2.0224164701174274,0.006889706743443737,CDH1,CDH2,Colorectal,False,-0.05151362006082269,3,27
DINACICLIB,-1.3073434388666667,-0.9583524381074073,-0.3489910007592594,-2.0359548743787554,0.016867794036407858,-4.300039454448849,3,27,1.0,0.18518518518518517,0.8148148148148149,0.3489910007592594,2.0359548743787554,0.13283387803671187,CDH1,CDH2,Colorectal,False,-0.05151362006082269,3,27
BNC105,-1.0423288401333335,-0.7016476928047619,-0.3406811473285716,-1.443289155433955,0.0002582544305654611,-4.259241605919863,6,21,0.6666666666666666,0.14285714285714285,0.5238095238095237,0.3406811473285716,1.443289155433955,0.06235437461568756,SMARCA4,SMARCA2,Ovarian,True,-0.021303626734109148,8,25
PANOBINOSTAT,-1.47422383112,-1.1352235685392857,-0.33900026258071425,-1.453359797465039,1.9174352914980486e-05,-5.05093022477134,5,28,0.8,0.17857142857142858,0.6214285714285714,0.33900026258071425,1.453359797465039,0.009815125006886288,EP300,CREBBP,Ovarian,True,-0.01005988438593175,5,28
SN38,-2.5519657212846156,-2.2149713315908257,-0.3369943896937899,-0.37124536294445476,0.0007543481624720139,-3.415703536049684,286,109,0.27972027972027974,0.1743119266055046,0.10540835311477514,0.3369943896937899,0.37124536294445476,0.027266926263012796,TP53,TP63,PanCancer,False,-0.05549724282390584,410,165
