gene,cnv,dep
ARID1A,0.3492800891184755,0.0005960558579344
ARID1A,1.0450203234740174,-0.0174218413833409
ARID1A,0.9843429838304272,0.0930854305632628
ARID1A,0.795061298352416,-0.4377497858214487
ARID1A,1.071024884151958,-0.068209903518915
ARID1A,0.909086828196002,0.146852883144088
ARID1A,0.8498752534695173,-0.4354976727070467
ARID1A,0.7423425656860762,0.2143253853058116
ARID1A,1.0075531882895266,-0.0004331281496676
ARID1A,1.095987238586546,-0.1594710300361885
ARID1A,1.057347060172476,-0.0196986381195489
ARID1A,0.994252369241714,0.4667549920004703
ARID1A,0.6936616352874053,-0.2578682570487957
ARID1A,0.998452707491915,-0.1786305513078452
ARID1A,1.086900593947441,-0.8202012172994801
ARID1A,1.1868157682774143,-0.4207536712464311
ARID1A,1.0391306097821154,-0.4917462674082277
ARID1A,0.7552561856598627,-0.2712425495994431
ARID1A,0.5351373015175803,-0.0175956868362729
ARID1A,1.0037458340578005,-0.1899475841901172
ARID1A,0.9707441411499405,0.0128503827763968
ARID1A,0.6223974264275907,-0.1258745559306478
ARID1A,1.0656258611476634,-0.1791244203444985
ARID1A,0.7796967359002671,-0.5930841110521433
ARID1A,0.974386466135396,-0.2708310592346825
ARID1A,1.0070797960965956,-0.3794574603555054
ARID1A,0.6073449276616559,-0.1098781262406465
ARID1A,0.8850862775504014,-0.4155305096541158
ARID1A,0.9805342978084608,0.0310426826304021
ARID1A,1.0265294376385177,-1.1882201626059987
ARID1A,1.0628396833547131,0.1036739405289704
ARID1A,1.1872460859471128,-0.1190073314111539
ARID1A,1.2568591647178584,0.4920197281794329
ARID1A,0.9954260172147804,-0.2676501462683087
ARID1A,1.2796346824179203,0.5482022972073723
ARID1A,1.005391223301752,-0.0649076406433235
ARID1A,1.064335508054194,-0.1327944819424473
ARID1A,1.0098667887346036,-0.3460912055250522
ARID1A,1.0239164510967005,-0.2237012195795298
ARID1A,0.7718487111854626,0.2616380079975538
ARID1A,0.3857574702017993,-0.1279769821560064
ARID1A,1.2506941240528648,0.1361829091067398
ARID1A,0.6371478087211303,-0.3555849046249787
ARID1A,0.9814406960446168,0.0369931968050302
ARID1A,0.7058570774290864,-0.0806150534149933
ARID1A,0.7636492211374304,-0.3255299292043409
ARID1A,1.0095518440125335,-0.6790041855705649
ARID1A,1.0495959076170909,-0.749024896113408
ARID1A,0.9749404460062696,-0.2543769760720171
ARID1A,1.1645438789461977,-0.2981148605244486
ARID1A,0.9312419794091104,0.0830805840390085
ARID1A,0.9574327095680686,-0.4156854006986632
ARID1A,0.9695801041322564,-0.3470496976096535
ARID1A,1.193395299843862,-0.0788019643678418
ARID1A,0.784155675092434,-0.2550721905168146
ARID1A,1.042915303871837,-0.1006421712167213
ARID1A,0.9482983954539652,0.1041740091222456
ARID1A,0.7348358921819726,-0.1832185387036195
ARID1A,1.1266106384876673,-0.1365287195461254
