context,n_lines,n_pairs,n_known,median_ti,n_selective,n_good_window
Ovarian,55,13,7,0.0,3,2
Endometrial,28,14,5,0.15137696983783255,4,5
Breast,50,5,2,0.0,2,0
Colorectal,59,12,5,0.0,4,4
PanCancer,1116,21,9,0.0,8,5
