pair,gene_a,gene_b,hit_any_line,signed_dd_maxabs,welch_t_maxabs,hedges_g_maxabs
E2F3|RB1,E2F3,RB1,0,-0.7965065319419418,-5.062696321802404,-2.2499980335500016
EAF1|EAF2,EAF1,EAF2,1,0.015089247362415181,0.09998297437924032,0.05551550092308503
EEFSEC|IFIH1,EEFSEC,IFIH1,0,0.2993579083081477,-4.9660571141688665,-1.132354617212855
EEFSEC|SP110,EEFSEC,SP110,0,-0.1813951532971843,-5.633262486231793,-1.0873638058925519
EFNB1|EPHA3,EFNB1,EPHA3,0,-0.09071975277341225,2.0960513191806247,0.7719318762452091
EFR3A|EFR3B,EFR3A,EFR3B,1,-0.2858615608993449,-2.268271866660497,-1.2799265788077423
EIF3J|EIF3L,EIF3J,EIF3L,1,-0.14896612196447778,0.7309761269299754,-0.5039121977970175
ELL|ELL2,ELL,ELL2,1,0.19822562441027802,1.2488861631721433,0.7384137374324448
ENOX1|ENOX2,ENOX1,ENOX2,0,-0.15830081172283442,-2.2373788525187113,-1.4811057767582232
EPC1|EPC2,EPC1,EPC2,1,-0.26973558634939016,-1.197624721498364,-0.7755961630823965
EPHA2|PCGF1,EPHA2,PCGF1,0,0.1199655331055595,1.683497776273378,0.6154158317714998
EPS15|EPS15L1,EPS15,EPS15L1,0,-0.08415711013232363,-1.3012029766564244,-0.6211225201616319
ERC1|ERC2,ERC1,ERC2,0,0.09158699114984388,-3.264885911082577,-0.827759095900276
ERN1|ERN2,ERN1,ERN2,0,-0.1648682248594545,2.051761877434247,-0.8106632087574256
ERO1A|ERO1B,ERO1A,ERO1B,0,0.04259058671675982,0.7520845113131598,0.32811359534279194
ESRP1|ESRP2,ESRP1,ESRP2,0,-0.22125327226684977,-2.4649818354606974,-1.1654491653375234
EXOC6|EXOC6B,EXOC6,EXOC6B,1,-0.13532785920192034,-1.8278124466073415,-1.1685277617440832
EZH1|EZH2,EZH1,EZH2,0,0.23181326605309882,2.9245392249722673,1.3258404349962751
FAM126A|FAM126B,FAM126A,FAM126B,0,,,
FAM50A|FAM50B,FAM50A,FAM50B,1,0.43541182406255735,2.0594084625313336,0.8451011078615985
FANCF|FANCM,FANCF,FANCM,0,-0.18791613895884657,-3.5574433176683575,-0.9643728092344273
FARS2|GSDMD,FARS2,GSDMD,0,-0.3976141504746694,-2.7185429580309424,-1.2782095892280818
FBLN1|PLXDC1,FBLN1,PLXDC1,0,-0.15655226322455082,1.3811233478099958,-0.7053415940375857
FDPS|MT2A,FDPS,MT2A,0,,,
FDPS|TAP1,FDPS,TAP1,0,0.3380685667937515,2.4076708276691847,0.9761741926922662
FEZ1|FEZ2,FEZ1,FEZ2,0,-0.11936234679226503,-1.8252698091527209,-0.755487000953028
FKBP4|FKBP5,FKBP4,FKBP5,1,0.0469925897453945,0.8320018199749731,0.39091184000982365
FKBP10|FKBP9,FKBP9,FKBP10,0,0.06842298896374244,1.648911212483471,0.7063628308979325
FLNB|FLNC,FLNB,FLNC,0,0.09838818744230525,2.885551251710496,1.125039155476923
FLOT1|FLOT2,FLOT1,FLOT2,0,-0.044651410220976906,1.0393155275649286,-0.3358999218257801
FNIP1|FNIP2,FNIP1,FNIP2,0,0.3062877358171256,1.996241941162574,1.4099952704919712
FOSL1|PCGF1,FOSL1,PCGF1,0,0.050037689056877284,0.4667458217450101,0.2482891340278209
FOXA1|GSTP1,FOXA1,GSTP1,0,,,
FOXA1|MAP4K4,FOXA1,MAP4K4,0,0.20847850347848032,-2.5718895903688415,1.0209626406861814
FOXK1|FOXK2,FOXK1,FOXK2,1,-0.25287334155771557,3.2072807550475666,1.0615832416933568
FRS2|FRS3,FRS2,FRS3,0,0.10634165820114559,2.856060551502657,0.7698788536630867
FRY|FRYL,FRY,FRYL,0,-0.12930794029733075,2.385385684145491,0.9162306319781984
FSD1|FSD1L,FSD1,FSD1L,0,0.04468870170536782,2.3578093218802305,0.5010583436124901
G3BP1|G3BP2,G3BP1,G3BP2,1,0.1419719445892146,-1.0203019439004855,-0.6697200062806768
GABPB1|GABPB2,GABPB1,GABPB2,0,-0.09845217960485564,-2.591005005556008,-0.8972867203789634
GALNT2|GALNT5,GALNT2,GALNT5,0,-0.14680523493505054,-1.8529187483322214,-0.8495404872455885
GAPDH|RSPH1,GAPDH,RSPH1,0,0.3370223244337096,2.0529283659467876,0.973849731848766
GATAD2A|NCOR2,GATAD2A,NCOR2,0,-0.17657090687841137,-2.4868797108295833,-0.9179170048580765
GBX1|GBX2,GBX1,GBX2,0,-0.0992959485234099,1.9094033991668997,-0.5872686578188605
GDF15|TP53,GDF15,TP53,0,-0.08447458854792778,-3.159434977127759,-0.9836982801235715
GDI1|GDI2,GDI1,GDI2,1,0.05782742185838863,0.6918931346428887,0.3962564636476872
GDI2|RHOBTB2,GDI2,RHOBTB2,0,-0.037548609676932757,-0.34302776582583927,-0.19285216056045712
GFM1|TGFBR2,GFM1,TGFBR2,0,-0.3719929678336681,-2.8273347609412873,-1.1131869730650958
GIT1|GIT2,GIT1,GIT2,1,-0.1260607386173034,-2.2402792443876467,-1.0380729081357547
GLIS3|PCGF1,GLIS3,PCGF1,0,-0.23858359183242434,3.0025921366378814,1.1286986899672669
GMPR|GMPR2,GMPR,GMPR2,0,,,
GNB3|KLF5,GNB3,KLF5,0,-0.3723780568291474,-3.096770009158171,-1.0290973203884521
GOLPH3|GOLPH3L,GOLPH3,GOLPH3L,1,,,
GOLT1A|GOLT1B,GOLT1A,GOLT1B,0,0.09127186269378268,1.8853607519291216,0.6276336484067203
GPR183|MTA3,GPR183,MTA3,0,0.043736136285368904,0.5876609190641696,0.28048483039437067
GPSM1|GPSM2,GPSM1,GPSM2,0,0.10005006008740704,1.401895983493262,0.7763422570422992
GRHL2|GRHL3,GRHL2,GRHL3,0,-0.0847084928406065,-4.307616543332912,-1.0654670543797629
GRIP1|GRIP2,GRIP1,GRIP2,0,-0.07625628931461381,2.335204401305287,1.1023383961930067
GSTP1|SPDEF,GSTP1,SPDEF,0,-0.052980695131045114,-0.47397454818176615,-0.2799048225431729
GTF3C1|SNAPC4,GTF3C1,SNAPC4,0,0.26848931450962,2.2929941033338617,0.8749643906264465
GXYLT1|GXYLT2,GXYLT1,GXYLT2,0,-0.1144365243751322,-1.0401136673261575,-0.6794825346857881
GYS1|GYS2,GYS1,GYS2,0,-0.0996255115336905,-1.3610091741788353,-0.5580764897950324
H2AFX|MCPH1,H2AFX,MCPH1,0,,,
HACD1|HACD2,HACD1,HACD2,0,-0.24757813668954953,-2.18172267940175,-1.4383863047187853
HEATR5A|HEATR5B,HEATR5A,HEATR5B,0,-0.16868790142916898,-2.970399203524487,-1.044342887403328
HMG20B|MTA1,HMG20B,MTA1,0,0.07011356638983082,-1.9398204763180824,0.7223055275219359
