lineage,auroc,n_positives,mean_mutation_frequency,n_lines,n_entries,fitted,residual
NSCLC,0.6637362637362637,5,0.2041666666666666,95,96,0.656309145361317,0.007427118374946695
SCLC,0.6510638297872341,5,0.18290341430837298,121,99,0.6684846142564574,-0.01742078446922335
Colorectal,0.775438596491228,5,0.3813559322033899,59,62,0.6534972211386217,0.1219413753526063
Esophagogastric,0.6737588652482269,3,0.16032258064516128,62,50,0.5052665141302819,0.16849235111794503
Breast,0.15,2,0.2933333333333334,50,12,0.4195410317118686,-0.2695410317118686
Ovarian,0.6112956810631229,7,0.1636363636363636,55,50,0.691912895297956,-0.08061721423483303
Endometrial,0.519298245614035,5,0.2747138397502602,31,62,0.5955842482561854,-0.07628600264215035
Bladder Urothelial,0.53125,2,0.2833333333333334,30,18,0.3852458117874222,0.14600418821257782
