pi,k_hidden_positives,n_replicates,seed,observed_auroc,random_flip_mean_auroc,random_flip_sd,random_flip_ci95_lo,random_flip_ci95_hi,random_flip_min,worst_case_bottomk_auroc,best_case_topk_auroc,elkan_noto_e,elkan_noto_corrected_auroc,frac_replicates_above_0_5
0.01,1,2000,42,0.6286764705882353,0.614962596259626,0.03339711860539099,0.5577557755775577,0.671067106710671,0.5555555555555556,0.5555555555555556,0.6732673267326733,0.8888888888888888,0.6447610294117647,1.0
0.05,5,2000,42,0.6286764705882353,0.5800630452022203,0.05354291449734422,0.4773988897700238,0.6835844567803331,0.4425059476605868,0.3774781919111816,0.7835051546391752,0.6153846153846154,0.7090992647058824,0.931
0.1,10,2000,42,0.6286764705882353,0.5564906400966183,0.056953516574089175,0.4438405797101449,0.6624849033816423,0.3882850241545894,0.2693236714975845,0.8532608695652174,0.4444444444444444,0.7895220588235294,0.828
