,SequencingID,ModelID,ModelConditionID,IsDefaultEntryForModel,IsDefaultEntryForMC,MSIScore,LoHFraction,WGD,CIN,Ploidy,Aneuploidy
1600,CDS-Dml2tg,ACH-000073,MC-000073-3JOs,No,Yes,1.11,0.109017750994113,0.0,0.150743103010241,1.96886137807358,6.0
1601,CDS-DoZFcl,ACH-001539,MC-001539-2idY,Yes,Yes,4.48,0.147908769831842,0.0,0.232349054284691,2.03118735393587,4.0
1602,CDS-DqFumg,ACH-000146,MC-000146-qEga,No,Yes,1.17,0.193820275405589,0.0,0.401990729496664,2.2270250945754997,9.0
1603,CDS-Dqpcmw,ACH-000495,MC-000495-g0D3,Yes,Yes,1.59,0.248632177303332,0.0,0.578760750775023,2.45702262803894,19.0
1604,CDS-DuJV9Q,ACH-000718,MC-000718-EHx2,No,No,2.83,0.263006160333357,1.0,0.629003955624913,3.01670922683547,24.0
1605,CDS-DuVH7i,ACH-001193,MC-001193-PsdQ,No,Yes,0.57,0.244250961602086,0.0,0.295767043456106,1.9090057625312,8.0
1606,CDS-Dva1PC,ACH-001378,MC-001378-93SH,Yes,Yes,4.13,,,,,
1607,CDS-Dy7dnm,ACH-002146,MC-002146-Mddl,Yes,Yes,1.13,0.492571896891633,1.0,0.67501749080592,3.9204197127215696,17.0
1608,CDS-DyI5Fv,ACH-000350,MC-000350-c8yb,No,Yes,1.56,0.452388669926558,1.0,0.686817924642793,2.44517690585261,17.0
1609,CDS-DzhnWd,ACH-000424,MC-000424-y6EX,No,Yes,1.1,0.0757182896968985,1.0,0.485696536216699,3.7925835825668597,17.0
1610,CDS-E8QJa5,ACH-002285,MC-002285-eXjs,Yes,Yes,0.79,0.249587078778031,1.0,0.520493382387709,3.21350258246568,20.0
1611,CDS-E9HOM3,ACH-001839,MC-001839-5IUH,Yes,Yes,6.34,0.395083200535103,1.0,0.69550644659439,3.55799120022532,23.0
1612,CDS-EELSBS,ACH-000544,MC-000544-CWJO,No,Yes,0.7,0.362821542937568,1.0,0.628008193317353,3.37777287383819,24.0
1613,CDS-EEQq7x,ACH-001233,MC-001233-1DvM,Yes,Yes,0.85,0.377410981665044,1.0,0.703303872297552,2.6264461361520097,24.0
1614,CDS-EEm0MQ,ACH-001411,MC-001411-EIzh,Yes,Yes,4.05,0.180160129140046,1.0,0.621061774171641,2.77020034244813,19.0
1615,CDS-EGUk0T,ACH-000302,MC-000302-TT0u,No,No,1.84,0.309754000265502,1.0,0.815262522740848,3.8686769007687096,30.0
1616,CDS-EJIW51,ACH-002174,MC-002174-8iP1,Yes,Yes,1.25,0.308461785984332,0.0,0.501159801445373,2.16921218344652,10.0
1617,CDS-EJTMlP,ACH-002065,MC-002065-IPMz,No,No,3.85,0.0731277200233732,0.0,0.136804015133857,1.9210060049588502,5.0
1618,CDS-EJpg4r,ACH-000596,MC-000596-MF8N,No,Yes,0.57,0.413722194175158,1.0,0.610972970549291,2.91132545885522,21.0
1619,CDS-ENNhkJ,ACH-000080,MC-000080-flxZ,No,No,1.5,0.000249208114562898,0.0,0.000294284341628133,1.99942224890859,0.0
1620,CDS-EOS7hd,ACH-000777,MC-000777-ezmQ,No,No,1.71,0.48480509004129,1.0,0.70247398225179,3.3132402690349,17.0
1621,CDS-EPiSDv,ACH-000763,MC-000763-qyI3,No,Yes,2.94,0.111409980205272,0.0,0.226114386261479,2.03014758587621,4.0
1622,CDS-ERMdXT,ACH-000225,MC-000225-leBC,Yes,Yes,1.52,0.407920710252535,1.0,0.657412596970281,2.36813628193991,15.0
1623,CDS-ESBQWj,ACH-000127,MC-000127-8tHu,No,No,3.73,0.417175665012968,1.0,0.621098940622475,2.99649806213878,17.0
1624,CDS-EVAcFA,ACH-002059,MC-002059-EyUo,No,Yes,65.78,0.0422882217626136,0.0,0.055971193936556,1.9986064282929399,0.0
1625,CDS-EVq1fj,ACH-002389,MC-002389-vfTk,Yes,Yes,0.55,0.392864967036227,1.0,0.764382654698684,4.02455630831731,25.0
1626,CDS-EZbNyE,ACH-000796,MC-000796-MvBN,No,No,1.76,0.043277264003195,1.0,0.594806153920641,3.66289918813049,24.0
1627,CDS-EeIAfI,ACH-002089,MC-002089-94OR,Yes,Yes,3.01,0.222602250810504,1.0,0.605490254647256,3.4354918042783202,22.0
1628,CDS-EefiWg,ACH-000400,MC-000400-I3X8,No,Yes,0.73,0.114631768542192,1.0,0.505212106093093,3.68175068227581,31.0
1629,CDS-EfSgey,ACH-001526,MC-001526-Y6x6,No,Yes,1.02,0.380196659416308,1.0,0.782973287994322,3.32822493717026,24.0
1630,CDS-Eg7JWe,ACH-000351,MC-000351-SVDi,No,Yes,1.57,0.252831280645192,1.0,0.47669657815049,3.22003895707528,22.0
1631,CDS-EhWMFE,ACH-000789,MC-000789-RFW6,Yes,Yes,2.84,0.43954262186342,1.0,0.707692946352026,2.75435179846007,26.0
1632,CDS-Ehv7QL,ACH-000634,MC-000634-KPL2,No,No,3.07,0.109924627968748,1.0,0.550493503119261,3.5776251000759305,29.0
1633,CDS-EiwWMV,ACH-000501,MC-000501-zhHw,Yes,Yes,1.19,0.23981026847224,1.0,0.704378869991016,2.93464497301971,26.0
1634,CDS-EkWIKQ,ACH-002466,MC-002466-lZtp,Yes,Yes,3.86,0.000368489005657905,0.0,0.166157335471189,2.16583989643659,7.0
1635,CDS-Entnfm,ACH-002168,MC-002168-BdXO,Yes,Yes,0.93,0.172798483623608,1.0,0.466387324251387,3.8758524181631,15.0
1636,CDS-Eqr06D,ACH-000006,MC-000006-kr0r,Yes,Yes,1.27,0.0810615186652163,0.0,0.190794888208945,2.05966413874506,8.0
1637,CDS-ErLJnd,ACH-000730,MC-000730-bqCG,No,Yes,1.01,,,,,
1638,CDS-EsZ6v3,ACH-000849,MC-000849-k9Oq,No,Yes,3.67,0.556106545775337,1.0,0.586680964913109,2.93042941616472,27.0
1639,CDS-EwNggG,ACH-000262,MC-000262-Ldf3,No,No,3.62,,,,,
1640,CDS-EwOlyh,ACH-000337,MC-000337-VmHG,No,No,3.91,,,,,
1641,CDS-EzxPjT,ACH-001143,MC-001143-FiMN,No,No,6.09,0.0384206946872938,0.0,0.189631772815975,2.12883926551247,9.0
1642,CDS-F1PMHi,ACH-003469,MC-003469-A3X1,Yes,Yes,4.69,0.0964133624541957,1.0,0.577358851120649,3.48705125827003,23.0
1643,CDS-F2hTRS,ACH-001756,MC-001756-4gaw,Yes,Yes,3.76,,,,,
1644,CDS-F3ZDFc,ACH-000574,MC-000574-hmfX,No,Yes,5.47,0.358110990332179,1.0,0.609779976646359,3.0105967448993303,18.0
1645,CDS-F7DKFi,ACH-000024,MC-000024-Tg2w,No,Yes,2.0,0.173023525880668,1.0,0.591445853595939,3.4527522510991604,22.0
1646,CDS-F8mjJ3,ACH-001403,MC-001403-LSWw,Yes,Yes,3.76,0.392346635855354,1.0,0.687716343592854,2.91303900023054,26.0
1647,CDS-FCQOTY,ACH-000131,MC-000131-g6bE,Yes,Yes,0.84,3.38441896060557e-05,0.0,3.38452613486623e-05,1.9999206288623301,0.0
1648,CDS-FInR9b,ACH-000045,MC-000045-yAHm,No,Yes,0.91,0.0396037800557717,0.0,0.126733277902579,2.1070255801779396,4.0
1649,CDS-FLjzVu,ACH-000869,MC-000869-u5uo,No,No,4.85,,,,,
1650,CDS-FNFqnr,ACH-002461,MC-002461-8Uwl,Yes,Yes,3.36,0.156929663892194,1.0,0.342017318244357,3.11962443527185,12.0
1651,CDS-FOc5DH,ACH-002218,MC-002218-Kljb,Yes,Yes,1.06,0.0108743387503441,0.0,0.077955890953672,2.11346340503226,1.0
1652,CDS-FPO1nw,ACH-001711,MC-001711-Z0Qp,No,No,3.12,0.0610872339014364,1.0,0.442922614474507,3.6596191079267104,15.0
1653,CDS-FPz6ha,ACH-001686,MC-001686-Zesm,Yes,Yes,4.69,0.172090886839549,0.0,0.248101811024705,2.09575993403359,6.0
1654,CDS-FRr2X6,ACH-000356,MC-000356-gdC3,No,Yes,1.44,0.440038976253055,0.0,0.525705202033253,1.9358905555298898,13.0
1655,CDS-FXX26z,ACH-002051,MC-002051-zH2Y,No,Yes,1.43,0.713194024279186,1.0,0.488158015968406,2.67744401241756,26.0
1656,CDS-FbX85A,ACH-000715,MC-000715-nlbC,Yes,Yes,2.21,0.17124115519872,0.0,0.300038737181216,2.0393017134759597,7.0
1657,CDS-FbaoEU,ACH-002173,MC-002173-xXAh,Yes,Yes,0.64,,,,,
1658,CDS-FfB0Fb,ACH-002937,MC-002937-gD8Q,Yes,Yes,4.22,0.000138941227386985,0.0,0.0135158582301928,1.98784039238216,1.0
1659,CDS-FgDL71,ACH-002167,MC-002167-1j6Y,Yes,Yes,1.38,,,,,
1660,CDS-FlPZGf,ACH-001137,MC-001137-IyNm,Yes,Yes,0.86,0.308748193912237,1.0,0.818888478979739,4.455130469861389,25.0
1661,CDS-FlmgYW,ACH-000847,MC-000847-vO2g,No,Yes,2.7,0.624013352530186,1.0,0.647040404294965,3.29733487093171,16.0
1662,CDS-FlnElG,ACH-000305,MC-000305-Itnt,Yes,Yes,1.27,0.433258682260663,1.0,0.847154620997567,4.781243753789901,25.0
1663,CDS-FmKkuY,ACH-001206,MC-001206-stHL,Yes,Yes,1.29,0.0816788139536865,1.0,0.494689148568823,3.0172125587187097,19.0
1664,CDS-FmR2bQ,ACH-001500,MC-001500-IO4l,Yes,Yes,5.3,0.31989100230705,0.0,0.434545703902067,2.07588747678441,8.0
1665,CDS-FnAPQI,ACH-001053,MC-001053-eiEy,No,Yes,3.82,0.0430357988383784,1.0,0.604267984112137,3.6071457656374597,20.0
1666,CDS-Fr9AXu,ACH-000009,MC-000009-Kmv4,No,Yes,1.37,0.345879151647148,1.0,0.810501686362898,4.14604353977026,21.0
1667,CDS-FvwPIb,ACH-000013,MC-000013-MIEW,No,No,1.52,0.169695294087056,1.0,0.446836088289243,3.15059969909468,21.0
1668,CDS-FxniGK,ACH-000095,MC-000095-UcYl,No,No,17.43,,,,,
1669,CDS-Fyaf8W,ACH-000392,MC-000392-fh0Y,No,Yes,0.74,0.341605434605009,1.0,0.727127734624033,3.02833411143306,23.0
1670,CDS-GAOpAm,ACH-002150,MC-002150-0aMk,Yes,Yes,8.99,0.515549985824004,1.0,0.506487757786358,2.68679262465846,28.0
1671,CDS-GCD6at,ACH-002129,MC-002129-j4Jj,Yes,Yes,1.14,0.354359904772046,1.0,0.58789196319914,2.78978179749237,19.0
1672,CDS-GE19k6,ACH-000558,MC-000558-HsPe,Yes,Yes,0.77,0.164668615930218,1.0,0.661675661517454,3.6333400922637797,19.0
1673,CDS-GEMgyy,ACH-001127,MC-001127-UPy1,Yes,Yes,68.06,0.0386138758802008,1.0,0.350116381042872,4.23995835416676,13.0
1674,CDS-GHfeD9,ACH-000249,MC-000249-ZFHF,No,No,2.38,0.153443591380725,0.0,0.286720649090252,2.01740604856963,8.0
1675,CDS-GHgmxI,ACH-001184,MC-001184-12NX,No,No,4.24,0.00148574427166521,1.0,0.305294187660367,4.16804236665109,8.0
1676,CDS-GJzOkC,ACH-000036,MC-000036-CO69,No,Yes,4.37,0.251586495833701,1.0,0.452960222152844,2.8789378105747003,15.0
1677,CDS-GLDUYn,ACH-000751,MC-000751-Qsiq,No,Yes,1.08,0.167875154286084,1.0,0.535420482919804,3.4956616214468395,15.0
